Keywords,Definitions
Blunder,n. Serious or foolish mistake. v. 1 make a blunder. 2 move clumsily; stumble. [probably scandinavian]
Blunderbuss,n. Hist. Short large-bored gun. [dutch donderbus thunder gun]
Blunt,"adj. 1 not sharp or pointed. 2 direct, outspoken. v. Make blunt or less sharp."
Blur,"v. (-rr-) make or become unclear or less distinct; smear. n. Blurred object, sound, memory, etc. [perhaps related to *bleary]"
Blurb,"n. Promotional description, esp. Of a book. [coined by g. Burgess 1907]"
Blurt,"v. (usu. Foll. By out) utter abruptly, thoughtlessly, or tactlessly. [imitative]"
Blush,v. 1 a become pink in the face from embarrassment or shame. B (of the face) redden thus. 2 feel embarrassed or ashamed. 3 redden. n. 1 act of blushing. 2 pink tinge. [old english]
Blusher,n. Rouge.
Bluster,v. 1 behave pompously or boisterously. 2 (of the wind etc.) Blow fiercely. n. Bombastic talk; empty threats.
Bm,abbr. 1 british museum. 2 bachelor of medicine.
Bma,abbr. British medical association.
B.mus.,Abbr. Bachelor of music.
Bmx,n. 1 organized bicycle-racing on a dirt-track. 2 bicycle used for this. [abbreviation of bicycle moto-cross]
Bo,abbr. Colloq. Body odour.
Boa,n. 1 large snake which kills by crushing and suffocating. 2 long stole of feathers or fur. [latin]
Boa constrictor,n. Species of boa.
Boar,n. 1 male wild pig. 2 uncastrated male pig. [old english]
Board,"n. 1 a flat thin piece of sawn timber, usu. Long and narrow. B material resembling this, of compressed fibres. C thin slab of wood etc. D thick stiff card used in bookbinding. 2 provision of regular meals, usu. With accommodation, for payment. 3 directors of a company; official administrative body. 4 (in pl.) Stage of a theatre. 5 side of a ship. v. 1 go on board (a ship, train, etc.). 2 receive, or provide with, meals and usu. Lodging. 3 (usu. Foll. By up) cover with boards; seal or close."
Boarder,"n. 1 person who boards, esp. At a boarding-school. 2 person who boards a ship, esp. An enemy."
Board-game,n. Game played on a board.
Boarding-house,"n. Unlicensed establishment providing board and lodging, esp. To holiday-makers."
Boarding-school,n. School in which pupils live in term-time.
Boardroom,n. Room in which a board of directors etc. Meets regularly.
Boast,"v. 1 declare one's virtues, wealth, etc. With excessive pride. 2 own or have with pride (hotel boasts a ballroom). n. 1 act of boasting. 2 thing one is proud of. [anglo-french]"
Boastful,adj. Given to boasting.
Boat,"n. 1 small vessel propelled on water by an engine, oars, or sails. 2 any ship. 3 long low jug for sauce etc. v. Go in a boat, esp. For pleasure."
Boater,n. Flat-topped straw hat with a brim.
Boat-hook,n. Long hooked pole for moving boats.
Boat-house,n. Waterside shed for housing boats.
Boating,n. Rowing or sailing as recreation.
Boatman,n. Person who hires out boats or provides transport by boat.
Boat people,n.pl. Refugees travelling by sea.
Boatswain,"n. (also bosun, bo'sun) ship's officer in charge of equipment and crew."
Boat-train,n. Train scheduled to meet or go on a boat.
Bob1,"v. (-bb-) 1 move quickly up and down. 2 (usu. Foll. By back, up) bounce or emerge buoyantly or suddenly. 3 cut (the hair) in a bob. 4 curtsy. n. 1 jerking or bouncing movement, esp. Upward. 2 hairstyle with the hair hanging evenly above the shoulders. 3 weight on a pendulum etc. 4 horse's docked tail. 5 curtsy. [imitative]"
Bob2,n. (pl. Same) hist. Slang shilling (now = 5 pence). [origin unknown]
Bob3,n.
Bobbin,n. Spool or reel for thread etc. [french]
Bobble,n. Small woolly ball on a hat etc. [diminutive of *bob1]
Bobby,"n. (pl. -ies) colloq. Police officer. [sir robert peel, 19th-c. Statesman]"
Bob-sled,n. Us = *bob-sleigh.
Bob-sleigh,n. Mechanically-steered and -braked racing sledge. v. Race in a bob-sleigh.
Bobtail,n. 1 docked tail. 2 horse or dog with this.
Boche,"n. Slang derog. German, esp. A soldier. [french]"
Bod,n. Colloq. Person. [shortening of *body]
Bode,"v. (-ding) be a sign of, portend."
Bodega,n. Cellar or shop selling wine. [spanish]
Bodge,var. Of *botch.
Bodice,n. 1 part of a woman's dress above the waist. 2 woman's vest-like undergarment. [originally pair of bodies]
Bodily,"adj. Of the body. adv. 1 as a whole body (threw them bodily). 2 in the flesh, in person."
Bodkin,n. Blunt thick needle for drawing tape etc. Through a hem. [origin uncertain]
Body,"n. (pl. -ies) 1 whole physical structure, including the bones, flesh, and organs, of a person or an animal, whether dead or alive. 2 = *trunk 2. 3 main or central part; bulk or majority (body of opinion). 4 a group regarded as a unit. B (usu. Foll. By of) collection (body of facts). 5 quantity (body of water). 6 piece of matter (heavenly body). 7 colloq. Person. 8 full or substantial quality of flavour, tone, etc."
Body-blow,n. Severe setback.
Body-building,n. Exercises to enlarge and strengthen the muscles.
Bodyguard,n. Person or group escorting and protecting another.
Body language,n. Communication through gestures and poses.
Body odour,"n. Smell of the human body, esp. When unpleasant."
Body politic,n. Nation or state as a corporate body.
Body shop,n. Workshop where bodywork is repaired.
Body stocking,n. Woman's undergarment covering the torso.
Bodysuit,"n. Close-fitting all-in-one garment for women, worn esp. For sport."
Bodywork,n. Outer shell of a vehicle.
Boer,"n. South african of dutch descent. adj. Of the boers. [dutch, = farmer]"
Boffin,n. Colloq. Research scientist. [origin unknown]
Bog,n. 1 a wet spongy ground. B stretch of this. 2 slang lavatory. v. (-gg-) (foll. By down; usu. In passive) impede (bogged down by snow).
Bogey1,"n. (pl. -eys) golf 1 score of one stroke more than par at any hole. 2 (formerly) par. [perhaps from bogey, as an imaginary player]"
Bogey2,n. (also bogy) (pl. -eys or -ies) 1 evil or mischievous spirit; devil. 2 awkward thing. 3 slang piece of dried nasal mucus. [originally (old) bogey the devil]
Bogeyman,n. (also bogyman) frightening person etc.
Boggle,v. (-ling) colloq. Be startled or baffled (esp. The mind boggles). [probably dial. Boggle *bogey2]
Bogie,n. Wheeled undercarriage below a locomotive etc. [origin unknown]
Bogus,"adj. Sham, spurious. [origin unknown]"
Bogy,var. Of *bogey2.
Bogyman,var. Of *bogeyman.
Bohemian,"n. 1 native of bohemia, a czech. 2 (also bohemian) socially unconventional person, esp. An artist or writer. adj. 1 of bohemia or its people. 2 (also bohemian) socially unconventional."
Boil1,"v. 1 a (of a liquid) start to bubble up and turn into vapour on reaching a certain temperature. B (of a vessel) contain boiling liquid (kettle is boiling). 2 a bring to boiling point. B cook in boiling liquid. C subject to boiling water, e.g. To clean. 3 a move or seethe like boiling water. B be very angry. n. Act or process of boiling; boiling-point (on the boil; bring to the boil)."
Boil2,n. Inflamed pus-filled swelling under the skin. [old english]
Boiler,n. 1 apparatus for heating a hot-water supply. 2 tank for heating water or turning it to steam. 3 tub for boiling laundry etc. 4 fowl etc. For boiling.
Boiler-room,"n. Room with a boiler and other heating equipment, esp. In a basement."
Boiler suit,n. Protective outer garment of trousers and jacket in one.
Boiling,adj. Colloq. Very hot.
Boiling point,n. 1 temperature at which a liquid begins to boil. 2 great excitement.
Boisterous,"adj. 1 noisily exuberant, rough. 2 (of the sea etc.) Stormy. [origin unknown]"
Bold,"adj. 1 confidently assertive; adventurous, brave. 2 impudent. 3 vivid (bold colours)."
Bole,n. Trunk of a tree. [old norse]
Bolero,n. (pl. -s) 1
Boll,"n. Round seed-vessel of cotton, flax, etc. [dutch]"
Bollard,"n. 1 short post in the road, esp. On a traffic island. 2 short post on a quay or ship for securing a rope. [perhaps related to *bole]"
Bollocking,n. (also ballocking) coarse slang severe reprimand.
Bollocks,n. (also ballocks) coarse slang 1 (usu. As int.) Nonsense. 2 testicles. [old english: related to *ball1]
Boloney,n. (also baloney) slang nonsense. [origin uncertain]
Bolshevik,n. 1 hist. Member of the radical faction of the russian social democratic party becoming the communist party in 1918. 2 russian communist. 3 any revolutionary socialist. adj. 1 of the bolsheviks. 2 communist.
Bolshie,(also bolshy) slang adj. (usu. Bolshie) 1 uncooperative; bad-tempered. 2 left-wing. n. (pl. -ies) bolshevik. [abbreviation]
Bolster,"n. Long cylindrical pillow. v. (usu. Foll. By up) encourage, support, prop up. [old english]"
Bolt1,"n. 1 sliding bar and socket used to fasten a door etc. 2 large metal pin with a thread, usu. Used with a nut, to hold things together. 3 discharge of lightning. 4 act of bolting. v. 1 fasten with a bolt. 2 (foll. By in, out) keep (a person etc.) In or out by bolting a door. 3 fasten together with bolts. 4 a dash off suddenly. B (of a horse) suddenly gallop out of control. 5 gulp down (food) unchewed. 6 (of a plant) run to seed. adv. (usu. In bolt upright) rigidly, stiffly."
Bolt2,v. (also boult) sift (flour etc.). [french]
Bolt-hole,n. Means of escape.
Bomb,"n. 1 container filled with explosive, incendiary material, etc., designed to explode and cause damage. 2 (prec. By the) the atomic or hydrogen bomb. 3 slang large sum of money (cost a bomb). v. 1 attack with bombs; drop bombs on. 2 (usu. Foll. By along, off) colloq. Go very quickly."
Bombard,v. 1 attack with heavy guns or bombs etc. 2 (often foll. By with) question or abuse persistently. 3 physics direct a stream of high-speed particles at.
Bombardier,n. 1 non-commissioned officer in the artillery. 2 us crew member in an aircraft who aims and releases bombs.
Bombast,n. Pompous language; hyperbole.
Bombay duck,"n. Dried fish as a relish, esp. With curry. [corruption of bombil, native name of fish]"
Bombazine,n. Twilled worsted dress-material. [greek bombux silk]
Bomber,"n. 1 aircraft equipped to drop bombs. 2 person using bombs, esp. Illegally."
Bomber jacket,n. Jacket gathered at the waist and cuffs.
Bombshell,n. 1 overwhelming surprise or disappointment. 2 artillery bomb. 3 slang very attractive woman.
Bomb-site,n. Area where bombs have caused destruction.
Bona fide,adj. Genuine; sincere. adv. Genuinely; sincerely. [latin]
Bonanza,"n. 1 source of wealth or prosperity. 2 large output (esp. Of a mine). [spanish, = fair weather]"
Bon-bon,n. Sweet. [french bon good]
Bond,n. 1 thing or force that unites or (usu. In pl.) Restrains. 2 binding agreement. 3 commerce certificate issued by a government or a company promising to repay borrowed money at a fixed rate of interest. 4 adhesiveness. 5 law deed binding a person to make payment to another. 6 chem. Linkage between atoms in a molecule. v. 1 hold or tie together. 2 connect or reinforce with a bond. 3 place (goods) in bond.
Bondage,n. 1 slavery. 2 subjection to constraint etc. 3 sexual practices involving constraint. [anglo-latin: related to *bondsman]
Bonded,"adj. 1 stored in or for storing in bond (bonded whisky, warehouse). 2 (of a debt) secured by bonds."
Bond paper,n. High-quality writing-paper.
Bondsman,"n. Serf, slave. [old english bonda husbandman]"
Bone,"n. 1 any piece of hard tissue making up the skeleton in vertebrates. 2 (in pl.) A skeleton, esp. As remains. B body. 3 material of bones or similar material, e.g. Ivory. 4 thing made of bone. 5 (in pl.) Essentials (the bones of an agreement). 6 strip of stiffening in a corset etc. v. (-ning) 1 remove the bones from. 2 stiffen with bone etc."
Bone china,n. Fine china made of clay mixed with bone ash.
Bone-dry,adj. Completely dry.
Bone-idle,adj. Utterly idle.
Bone-marrow,n. = *marrow 2.
Bone-meal,"n. Crushed bones, esp. As a fertilizer."
Bone of contention,n. Source of dispute.
Boneshaker,n. Decrepit or uncomfortable old vehicle.
Bonfire,"n. Large open-air fire, esp. For burning rubbish. [from *bone (because bones were once used), *fire]"
Bongo,n. (pl. -s or -es) either of a pair of small drums usu. Held between the knees and played with the fingers. [american spanish]
Bonhomie,n. Good-natured friendliness. [french]
Bonk,"v. 1 bang, bump. 2 coarse slang have sexual intercourse (with). n. Instance of bonking (bonk on the head). [imitative]"
Bonkers,predic. Adj. Slang crazy. [origin unknown]
Bon mot,n. (pl. Bons mots) witty saying. [french]
Bonnet,"n. 1 a hat tied under the chin, worn esp. By babies. B scotsman's floppy beret. 2 hinged cover over a vehicle's engine. [french]"
Bonny,"adj. (-ier, -iest) esp. Scot. & n.engl. 1 a physically attractive. B healthy-looking. 2 good, pleasant. [perhaps from french bon good]"
Bonsai,n. (pl. Same) 1 dwarfed tree or shrub. 2 art of growing these. [japanese]
Bonus,"n. Extra benefit or payment. [latin, = good]"
Bon vivant,n. (pl. Bon or bons vivants pronunc. Same) person fond of good food and drink. [french]
Bon voyage,int. Expression of good wishes to a departing traveller. [french]
Bony,"adj. (-ier, -iest) 1 thin with prominent bones. 2 having many bones. 3 of or like bone."
Boo,"int. 1 expression of disapproval etc. 2 sound intended to surprise. n. Utterance of boo, esp. To a performer etc. v. (boos, booed) 1 utter boos. 2 jeer at by booing. [imitative]"
Boob1,colloq. n. 1 silly mistake. 2 foolish person. v. Make a silly mistake. [shortening of *booby]
Boob2,n. Slang woman's breast. [origin uncertain]
Booby,n. (pl. -ies) stupid or childish person. [spanish bobo]
Booby prize,n. Prize given for coming last.
Booby trap,n. 1 practical joke in the form of a trap. 2 disguised explosive device triggered by the unknowing victim.
Boodle,"n. Slang money, esp. Gained or used dishonestly. [dutch boedel possessions]"
Boogie,"v. (-ies, -ied, -ieing) slang dance to pop music."
Boogie-woogie,n. Style of playing blues or jazz on the piano. [origin unknown]
Book,"n. 1 a written or printed work with pages bound along one side. B work intended for publication. 2 bound blank sheets for notes, records, etc. 3 bound set of tickets, stamps, matches, etc. 4 (in pl.) Set of records or accounts. 5 main division of a large literary work. 6 telephone directory. 7 colloq. Magazine. 8 libretto, script, etc. 9 record of bets. v. 1 a (also absol.) Reserve (a seat etc.) In advance. B engage (an entertainer etc.). 2 a take the personal details of (an offender or rule-breaker). B enter in a book or list."
